date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/06/13,731,267.58,3.526,1.42E+03,-15.9,-121.2,-0.9,74.232
  2023/06/13,781,267.57,3.525,1.42E+03,-22.4,-118.9,0.2,74.772
  2023/06/13,830,267.53,3.543,1.43E+03,-25.5,-112.9,5.4,74.16
  2023/06/13,884,267.48,3.513,1.43E+03,-22.2,-107.9,12.7,75.06
  2023/06/13,932,267.43,3.538,1.43E+03,-27.6,-99.7,20.8,75.204
  2023/06/13,980,267.94,3.563,1.44E+03,-33.5,-97.3,26,74.268
  2023/06/13,32,267.53,3.521,1.42E+03,-31.5,-100.8,24.6,74.628
  2023/06/13,81,267.77,3.541,1.43E+03,-34.2,-100.2,20,74.484
  2023/06/13,130,267.28,3.535,1.43E+03,-31.4,-81.8,18.2,75.348
  2023/06/13,183,267.66,3.569,1.44E+03,-77.4,-43.4,32.5,74.808
  2023/06/13,231,269.24,3.541,1.45E+03,-80.4,-10.8,33.8,74.772
  2023/06/13,279,267.48,3.557,1.44E+03,-93.3,-2.8,40.2,74.34
  2023/06/13,331,268.49,3.517,1.44E+03,-91.3,-8.6,36.1,75.204
  2023/06/13,385,267.53,3.567,1.45E+03,-93.8,-7.7,37,75.6
  2023/06/13,434,265.06,3.577,1.43E+03,-90,-8.7,34.9,74.556
  2023/06/13,486,268.07,3.535,1.44E+03,-94.1,-7.3,37,74.844
  2023/06/13,536,267.69,3.538,1.43E+03,-93.9,-7.6,38.7,75.996
  2023/06/13,584,267.6,3.604,1.46E+03,-91.7,-6.8,37.7,72.72
  2023/06/13,637,268.59,3.451,1.41E+03,-92.4,-5.2,39.4,72.18
  2023/06/13,685,267.97,3.414,1.39E+03,-92.9,-6.8,37.1,72.972
  2023/06/13,731,267.67,3.44,1.40E+03,-93.8,-5.9,38.8,73.116
  2023/06/13,781,267.43,3.454,1.40E+03,-97.2,-7.2,38.8,73.548
  2023/06/13,831,267.44,3.471,1.41E+03,-98.8,-9,36.2,72.504
  2023/06/13,879,267.38,3.42,1.39E+03,-92.3,-8.1,37.5,72.864
  2023/06/13,931,267.45,3.446,1.40E+03,-90,-8.5,37.5,73.8
  2023/06/13,980,267.83,3.465,1.42E+03,-91.6,-5.9,37.9,74.988
  2023/06/13,30,267.79,3.535,1.44E+03,-85.7,-3.3,37.3,74.844
  2023/06/13,80,267.71,3.525,1.44E+03,-86.9,-4.6,38.3,73.008
  2023/06/13,130,267.14,3.45,1.40E+03,-89.8,-4.2,37,73.62
  2023/06/13,181,267.59,3.47,1.41E+03,-90.2,-5.1,36.1,74.952
  2023/06/13,232,267,3.535,1.44E+03,-84.9,-4,36.8,73.872
  2023/06/13,281,268.49,3.474,1.42E+03,-88.9,-5.3,35.7,73.692
  2023/06/13,330,268.6,3.489,1.43E+03,-91.7,-1.9,36.7,74.412
  2023/06/13,385,267.44,3.524,1.43E+03,-88.3,-4.3,36.2,74.808
  2023/06/13,433,267.71,3.528,1.44E+03,-88.1,-5.1,37.5,74.772
  2023/06/13,486,267.72,3.537,1.44E+03,-90.4,-3.5,38.2,75.168
  2023/06/13,536,267.8,3.534,1.44E+03,-87.8,-3.5,38.7,75.456
  2023/06/13,585,268.21,3.564,1.46E+03,-88.1,-3.8,38,75.204
  2023/06/13,633,267.95,3.546,1.44E+03,-91.8,-5,37.9,74.484
  2023/06/13,681,267.12,3.521,1.42E+03,-94.1,-2.1,39.5,75.456
  2023/06/13,729,267.22,3.562,1.44E+03,-89.8,-3.5,38.2,76.464
  2023/06/13,784,267.33,3.595,1.46E+03,-94.7,-3,38.4,74.196
  2023/06/13,832,267.62,3.491,1.42E+03,-93.1,-5,37.7,74.448
