date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/04/06,43,407.65,0.65,3.38E+02,0,0,0,-0.809712999
  2023/04/06,83,407.64,0.6489,3.38E+02,0,0,0,-0.784212122
  2023/04/06,143,407.68,0.6511,3.39E+02,0,0,0,-0.895032595
  2023/04/06,183,407.68,0.6443,3.37E+02,0,0,0,-1.275363897
  2023/04/06,243,407.44,0.6294,3.30E+02,0,0,0,-0.917195635
  2023/04/06,283,407.48,0.6474,3.38E+02,0,0,0,-0.76011755
  2023/04/06,343,407.58,0.6527,3.41E+02,0,0,0,-0.652919528
  2023/04/06,393,407.63,0.6586,3.42E+02,0,0,0,-0.836791606
  2023/04/06,443,407.61,0.6507,3.39E+02,0,0,0,-0.750123987
  2023/04/06,493,407.58,0.6528,3.39E+02,0,0,0,-0.904107047
  2023/04/06,543,407.56,0.648,3.38E+02,0,0,0,-0.798331346
  2023/04/06,593,407.56,0.6535,3.40E+02,0,0,0,-0.810787634
  2023/04/06,643,407.62,0.648,3.39E+02,0,0,0,-0.732666869
  2023/04/06,683,407.68,0.6515,3.40E+02,0,0,0,-0.805160219
  2023/04/06,743,407.71,0.6532,3.40E+02,0,0,0,-0.812259078
  2023/04/06,782,407.72,0.646,3.38E+02,0,0,0,-0.782755072
  2023/04/06,842,407.76,0.6488,3.39E+02,0,0,0,-0.759840075
  2023/04/06,882,407.76,0.6472,3.39E+02,0,0,0,-0.869506212
  2023/04/06,942,407.78,0.6517,3.40E+02,0,0,0,-0.870545875
  2023/04/06,982,407.72,0.647,3.37E+02,0,0,0,-0.856551734
  2023/04/06,42,407.72,0.6453,3.37E+02,0,0,0,-0.834716742
  2023/04/06,82,407.69,0.6501,3.39E+02,0,0,0,-0.743834152
  2023/04/06,142,407.74,0.6487,3.39E+02,0,0,0,-0.753097523
  2023/04/06,192,407.73,0.6476,3.38E+02,0,0,0,-0.804900734
  2023/04/06,242,407.73,0.6487,3.38E+02,0,0,0,-0.64363799
  2023/04/06,282,407.77,0.6546,3.40E+02,0,0,0,-0.76970384
  2023/04/06,342,407.75,0.6508,3.39E+02,0,0,0,-0.67909318
  2023/04/06,392,407.77,0.6474,3.39E+02,0,0,0,-0.73540127
  2023/04/06,442,407.76,0.6463,3.38E+02,0,0,0,-0.729823738
  2023/04/06,492,407.73,0.6431,3.38E+02,0,0,0,-0.745156599
  2023/04/06,542,407.72,0.6404,3.37E+02,0,0,0,-0.727396258
  2023/04/06,592,407.72,0.6419,3.38E+02,0,0,0,-0.716139525
  2023/04/06,642,407.7,0.6398,3.37E+02,0,0,0,-0.646583624
  2023/04/06,692,407.7,0.6434,3.39E+02,0,0,0,-0.662726203
  2023/04/06,742,407.64,0.6436,3.39E+02,0,0,0,-0.595365347
  2023/04/06,782,407.67,0.6427,3.40E+02,0,0,0,-0.523699587
  2023/04/06,842,407.72,0.6459,3.41E+02,0,0,0,-0.516127907
  2023/04/06,882,407.72,0.6417,3.40E+02,0,0,0,-0.626649761
  2023/04/06,942,407.78,0.6415,3.40E+02,0,0,0,-0.477265078
  2023/04/06,992,407.77,0.643,3.40E+02,0,0,0,-0.503574273
  2023/04/06,42,407.78,0.6406,3.40E+02,0,0,0,-0.44637826
  2023/04/06,92,407.77,0.638,3.39E+02,0,0,0,-0.431678458
  2023/04/06,142,407.8,0.6443,3.41E+02,0,0,0,-0.502676803
  2023/04/06,182,407.76,0.6376,3.38E+02,0,0,0,-0.479375758
  2023/04/06,242,407.75,0.6365,3.38E+02,0,0,0,-0.379778319
  2023/04/06,282,407.76,0.6398,3.39E+02,0,0,0,-0.448688032
  2023/04/06,342,407.71,0.6352,3.37E+02,0,0,0,-0.434108993
  2023/04/06,392,407.65,0.6388,3.38E+02,0,0,0,-0.400845864
  2023/04/06,442,407.64,0.6399,3.38E+02,0,0,0,-0.320103879
  2023/04/06,492,407.65,0.6405,3.39E+02,0,0,0,-0.382688854
  2023/04/06,542,407.63,0.6376,3.37E+02,0,0,0,-0.207007195
  2023/04/06,592,407.62,0.6426,3.39E+02,0,0,0,-0.239465906
  2023/04/06,641,407.66,0.6474,3.40E+02,0,0,0,-0.199272597
  2023/04/06,691,407.65,0.6422,3.38E+02,0,0,0,-0.396035496
  2023/04/06,741,407.44,0.6375,3.35E+02,0,0,0,-0.062963449
  2023/04/06,781,407.62,0.6497,3.40E+02,0,0,0,-0.085665937
  2023/04/06,841,407.63,0.6456,3.38E+02,0,0,0,-0.273353076
  2023/04/06,881,407.62,0.6345,3.34E+02,0,0,0,-0.129235627
  2023/04/06,941,407.62,0.6464,3.38E+02,0,0,0,-0.020525003
  2023/04/06,981,407.62,0.6487,3.38E+02,0,0,0,-0.120033276
  2023/04/06,41,407.57,0.64,3.34E+02,0,0,0,0.094226817
  2023/04/06,81,407.6,0.6503,3.39E+02,0,0,0,-0.090558129
  2023/04/06,141,407.63,0.6342,3.34E+02,0,0,0,-0.339602199
  2023/04/06,191,407.61,0.6179,3.29E+02,0,0,0,0.002279842
  2023/04/06,231,407.6,0.6358,3.36E+02,0,0,0,0.096272539
  2023/04/06,291,407.56,0.6412,3.36E+02,0,0,0,0.266359747
  2023/04/06,341,407.61,0.6475,3.40E+02,0,0,0,0.267724624
  2023/04/06,391,407.62,0.641,3.38E+02,0,0,0,0.287549625
  2023/04/06,441,407.6,0.641,3.39E+02,0,0,0,0.293416502
  2023/04/06,491,407.6,0.6398,3.38E+02,0,0,0,0.389706297
  2023/04/06,541,407.59,0.6453,3.39E+02,0,0,0,0.399999339
  2023/04/06,591,407.6,0.6383,3.38E+02,0,0,0,0.468275246
  2023/04/06,641,407.59,0.6412,3.39E+02,0,0,0,0.536912914
  2023/04/06,681,407.58,0.6403,3.39E+02,0,0,0,0.562690523
  2023/04/06,741,407.6,0.6431,3.40E+02,0,0,0,0.63198553
  2023/04/06,791,407.58,0.6402,3.39E+02,0,0,0,0.57557467
  2023/04/06,841,407.59,0.6391,3.38E+02,0,0,0,0.706633956
  2023/04/06,891,407.58,0.6425,3.39E+02,0,0,0,0.665138674
  2023/04/06,941,407.58,0.6411,3.40E+02,0,0,0,0.775063389
  2023/04/06,981,407.58,0.6414,3.39E+02,0,0,0,0.766381941
  2023/04/06,41,407.55,0.6414,3.38E+02,0,0,0,0.844267448
  2023/04/06,81,407.84,0.633,3.31E+02,0,0,0,0.940292306
  2023/04/06,141,407.6,0.6439,3.41E+02,0,0,0,1.06522819
  2023/04/06,191,407.62,0.6476,3.42E+02,0,0,0,0.94184606
  2023/04/06,241,407.6,0.6408,3.39E+02,0,0,0,1.063316159
  2023/04/06,281,407.57,0.6457,3.40E+02,0,0,0,1.044408019
  2023/04/06,341,407.59,0.6446,3.40E+02,0,0,0,1.155090463
  2023/04/06,391,407.56,0.6464,3.40E+02,0,0,0,1.26213161
  2023/04/06,441,407.57,0.6497,3.41E+02,0,0,0,1.37629888
  2023/04/06,490,407.61,0.6534,3.42E+02,0,0,0,1.342758998
  2023/04/06,540,407.67,0.6528,3.42E+02,0,0,0,1.359478001
  2023/04/06,590,407.67,0.6506,3.40E+02,0,0,0,1.235621242
  2023/04/06,640,407.66,0.6458,3.38E+02,0,0,0,1.2807534
  2023/04/06,690,407.62,0.6414,3.36E+02,0,0,0,2.340838483
  2023/04/06,740,407.61,0.6693,3.59E+02,0,-1,0,2.58703984
  2023/04/06,790,407.64,0.6751,3.62E+02,0,0,0,2.490920166
  2023/04/06,840,407.65,0.6672,3.59E+02,0,0,0,2.585241512
  2023/04/06,890,407.61,0.6727,3.60E+02,0,0,0,2.563965297
  2023/04/06,940,407.6,0.672,3.59E+02,0,0,0,2.592652312
  2023/04/06,990,407.54,0.6675,3.57E+02,0,0,0,2.635262737
  2023/04/06,40,407.6,0.6694,3.59E+02,0,0,0,2.637756148
  2023/04/06,90,407.56,0.6663,3.58E+02,0,0,0,2.71169153
  2023/04/06,140,407.59,0.668,3.58E+02,0,0,0,2.713027289
  2023/04/06,190,407.62,0.6628,3.57E+02,0,0,0,2.821721265
  2023/04/06,240,407.67,0.6687,3.60E+02,0,0,0,2.821730745
  2023/04/06,290,407.69,0.6653,3.59E+02,0,0,0,2.857012479
  2023/04/06,340,407.73,0.6632,3.58E+02,0,0,0,2.819522691
  2023/04/06,390,407.77,0.662,3.59E+02,0,0,0,2.889217098
  2023/04/06,440,407.75,0.6619,3.58E+02,0,0,0,2.922050921
  2023/04/06,490,407.73,0.6608,3.58E+02,0,0,0,2.881978908
  2023/04/06,540,407.72,0.6615,3.59E+02,0,0,0,2.984955343
  2023/04/06,590,407.73,0.6604,3.58E+02,0,0,0,2.978934071
  2023/04/06,640,407.74,0.6594,3.57E+02,0,0,0,3.043868512
  2023/04/06,690,407.7,0.6586,3.57E+02,0,0,0,2.999711678
  2023/04/06,740,407.72,0.6569,3.57E+02,0,0,0,3.026416197
  2023/04/06,790,407.7,0.6571,3.58E+02,0,0,0,3.19593433
  2023/04/06,840,407.69,0.6612,3.59E+02,0,0,0,3.184217992
  2023/04/06,890,407.69,0.6597,3.58E+02,0,0,0,3.06321877
  2023/04/06,940,407.66,0.6602,3.58E+02,0,0,0,3.228887952
  2023/04/06,990,407.69,0.6611,3.59E+02,0,0,0,3.28517654
  2023/04/06,40,407.71,0.6664,3.61E+02,0,0,0,3.196035278
  2023/04/06,90,407.71,0.658,3.57E+02,0,0,0,3.249414677
  2023/04/06,140,407.69,0.6636,3.59E+02,0,0,0,3.337265032
  2023/04/06,190,407.73,0.6658,3.60E+02,0,0,0,3.279536451
  2023/04/06,240,407.77,0.6658,3.59E+02,0,0,0,3.364178881
  2023/04/06,290,407.76,0.6653,3.59E+02,0,0,0,3.195142129
  2023/04/06,339,407.69,0.66,3.56E+02,0,0,0,3.31237589
  2023/04/06,389,407.71,0.6641,3.57E+02,0,0,0,3.247829774
  2023/04/06,439,407.7,0.6661,3.57E+02,0,0,0,3.289453331
  2023/04/06,489,407.7,0.6642,3.57E+02,0,0,0,3.221196082
  2023/04/06,539,407.72,0.6655,3.57E+02,0,0,0,3.295007542
  2023/04/06,589,407.7,0.6669,3.57E+02,0,0,0,3.114837249
  2023/04/06,639,407.61,0.6567,3.52E+02,0,0,0,3.256634797
  2023/04/06,689,407.66,0.6678,3.57E+02,0,0,0,3.252349859
  2023/04/06,739,407.64,0.6671,3.57E+02,0,0,0,3.281932223
  2023/04/06,789,407.63,0.6689,3.58E+02,0,0,0,3.201331817
  2023/04/06,839,407.57,0.6639,3.55E+02,0,0,0,3.118498739
  2023/04/06,889,407.6,0.6595,3.54E+02,0,0,0,3.321383293
  2023/04/06,939,407.57,0.6629,3.56E+02,0,0,0,3.125936014
  2023/04/06,989,407.55,0.6632,3.56E+02,0,0,0,3.180107704
  2023/04/06,39,407.54,0.6627,3.57E+02,0,0,0,3.087849461
  2023/04/06,89,407.52,0.6607,3.57E+02,0,0,0,3.173112713
  2023/04/06,139,407.51,0.6596,3.58E+02,0,0,0,3.147849249
  2023/04/06,189,407.53,0.6627,3.59E+02,0,0,0,3.120011251
  2023/04/06,239,407.55,0.6594,3.58E+02,0,0,0,3.053551331
  2023/04/06,289,407.53,0.6569,3.57E+02,0,0,0,2.984422559
  2023/04/06,339,407.53,0.6576,3.57E+02,0,0,0,3.0205785
  2023/04/06,389,407.56,0.6607,3.59E+02,0,0,0,3.017973247
  2023/04/06,439,407.55,0.6634,3.59E+02,0,0,0,2.832561454
  2023/04/06,489,407.54,0.6589,3.57E+02,0,0,0,2.86029837
  2023/04/06,539,407.5,0.6573,3.56E+02,0,0,0,2.705139875
  2023/04/06,589,407.48,0.6548,3.55E+02,0,0,0,2.835042513
  2023/04/06,639,407.51,0.6654,3.58E+02,0,0,0,2.745963526
  2023/04/06,689,407.51,0.6644,3.59E+02,0,0,0,2.61786089
  2023/04/06,739,407.51,0.6586,3.56E+02,0,0,0,2.594693348
  2023/04/06,789,407.54,0.6626,3.58E+02,0,0,0,2.604420445
  2023/04/06,839,407.59,0.6601,3.57E+02,0,0,0,2.359002566
  2023/04/06,889,407.57,0.6576,3.56E+02,0,0,0,2.362400966
  2023/04/06,939,407.51,0.6575,3.56E+02,0,0,0,2.146577806
  2023/04/06,989,407.4,0.6563,3.55E+02,0,0,0,2.431496189
  2023/04/06,39,407.49,0.6689,3.61E+02,0,0,0,2.281120194
  2023/04/06,89,407.52,0.662,3.58E+02,0,0,0,2.23541491
  2023/04/06,139,407.55,0.6693,3.61E+02,0,0,0,2.042346471
  2023/04/06,189,407.55,0.6646,3.58E+02,0,0,0,2.061882089
  2023/04/06,238,407.57,0.6681,3.58E+02,0,0,0,1.753990091
  2023/04/06,288,407.58,0.6644,3.57E+02,0,0,0,1.838639946
  2023/04/06,338,407.61,0.6642,3.57E+02,0,0,0,1.595802308
  2023/04/06,388,407.58,0.6657,3.57E+02,0,0,0,1.565449042
  2023/04/06,438,407.56,0.666,3.57E+02,0,0,0,1.45955326
  2023/04/06,488,407.55,0.6653,3.57E+02,0,0,0,1.314089353
  2023/04/06,538,407.56,0.667,3.57E+02,0,0,0,1.309033024
  2023/04/06,588,407.57,0.6706,3.59E+02,0,0,0,1.08436132
