date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/04/06,143,407.68,0.6511,3.39E+02,0,0,0,17.79343263
  2023/04/06,183,407.68,0.6443,3.37E+02,0,0,0,17.79576393
  2023/04/06,243,407.44,0.6294,3.30E+02,0,0,0,17.79759567
  2023/04/06,283,407.48,0.6474,3.38E+02,0,0,0,17.79891758
  2023/04/06,343,407.58,0.6527,3.41E+02,0,0,0,17.79971956
  2023/04/06,393,407.63,0.6586,3.42E+02,0,0,0,17.79999164
  2023/04/06,443,407.61,0.6507,3.39E+02,0,0,0,17.79972402
  2023/04/06,493,407.58,0.6528,3.39E+02,0,0,0,17.79890708
  2023/04/06,543,407.56,0.648,3.38E+02,0,0,0,17.79753138
  2023/04/06,593,407.56,0.6535,3.40E+02,0,0,0,17.79558767
  2023/04/06,643,407.62,0.648,3.39E+02,0,0,0,17.7930669
  2023/04/06,683,407.68,0.6515,3.40E+02,0,0,0,17.78996025
  2023/04/06,743,407.71,0.6532,3.40E+02,0,0,0,17.78625911
  2023/04/06,782,407.72,0.646,3.38E+02,0,0,0,17.7819551
  2023/04/06,842,407.76,0.6488,3.39E+02,0,0,0,17.77704011
  2023/04/06,882,407.76,0.6472,3.39E+02,0,0,0,17.77150624
  2023/04/06,942,407.78,0.6517,3.40E+02,0,0,0,17.76534591
  2023/04/06,982,407.72,0.647,3.37E+02,0,0,0,17.75855177
  2023/04/06,42,407.72,0.6453,3.37E+02,0,0,0,17.75111677
  2023/04/06,82,407.69,0.6501,3.39E+02,0,0,0,17.74303418
  2023/04/06,142,407.74,0.6487,3.39E+02,0,0,0,17.73429756
  2023/04/06,192,407.73,0.6476,3.38E+02,0,0,0,17.72490077
  2023/04/06,242,407.73,0.6487,3.38E+02,0,0,0,17.71483802
  2023/04/06,282,407.77,0.6546,3.40E+02,0,0,0,17.70410387
  2023/04/06,342,407.75,0.6508,3.39E+02,0,0,0,17.69269321
  2023/04/06,392,407.77,0.6474,3.39E+02,0,0,0,17.6806013
  2023/04/06,442,407.76,0.6463,3.38E+02,0,0,0,17.66782377
  2023/04/06,492,407.73,0.6431,3.38E+02,0,0,0,17.65435663
  2023/04/06,542,407.72,0.6404,3.37E+02,0,0,0,17.64019629
  2023/04/06,592,407.72,0.6419,3.38E+02,0,0,0,17.62533956
  2023/04/06,642,407.7,0.6398,3.37E+02,0,0,0,17.60978366
  2023/04/06,692,407.7,0.6434,3.39E+02,0,0,0,17.59352624
  2023/04/06,742,407.64,0.6436,3.39E+02,0,0,0,17.57656538
  2023/04/06,782,407.67,0.6427,3.40E+02,0,0,0,17.55889962
  2023/04/06,842,407.72,0.6459,3.41E+02,0,0,0,17.54052794
  2023/04/06,882,407.72,0.6417,3.40E+02,0,0,0,17.52144979
  2023/04/06,942,407.78,0.6415,3.40E+02,0,0,0,17.50166511
  2023/04/06,992,407.77,0.643,3.40E+02,0,0,0,17.4811743
  2023/04/06,42,407.78,0.6406,3.40E+02,0,0,0,17.45997829
  2023/04/06,92,407.77,0.638,3.39E+02,0,0,0,17.43807849
  2023/04/06,142,407.8,0.6443,3.41E+02,0,0,0,17.41547683
  2023/04/06,182,407.76,0.6376,3.38E+02,0,0,0,17.39217579
  2023/04/06,242,407.75,0.6365,3.38E+02,0,0,0,17.36817835
  2023/04/06,282,407.76,0.6398,3.39E+02,0,0,0,17.34348806
  2023/04/06,342,407.71,0.6352,3.37E+02,0,0,0,17.31810902
  2023/04/06,392,407.65,0.6388,3.38E+02,0,0,0,17.29204589
  2023/04/06,442,407.64,0.6399,3.38E+02,0,0,0,17.26530391
  2023/04/06,492,407.65,0.6405,3.39E+02,0,0,0,17.23788888
  2023/04/06,542,407.63,0.6376,3.37E+02,0,0,0,17.20980722
  2023/04/06,592,407.62,0.6426,3.39E+02,0,0,0,17.18106593
  2023/04/06,641,407.66,0.6474,3.40E+02,0,0,0,17.15167263
  2023/04/06,691,407.65,0.6422,3.38E+02,0,0,0,17.12163552
  2023/04/06,741,407.44,0.6375,3.35E+02,0,0,0,17.09096348
  2023/04/06,781,407.62,0.6497,3.40E+02,0,0,0,17.05966597
  2023/04/06,841,407.63,0.6456,3.38E+02,0,0,0,17.0277531
  2023/04/06,881,407.62,0.6345,3.34E+02,0,0,0,16.99523565
  2023/04/06,941,407.62,0.6464,3.38E+02,0,0,0,16.96212503
  2023/04/06,981,407.62,0.6487,3.38E+02,0,0,0,16.9284333
  2023/04/06,41,407.57,0.64,3.34E+02,0,0,0,16.89417321
  2023/04/06,81,407.6,0.6503,3.39E+02,0,0,0,16.85935815
  2023/04/06,141,407.63,0.6342,3.34E+02,0,0,0,16.82400222
  2023/04/06,191,407.61,0.6179,3.29E+02,0,0,0,16.78812018
  2023/04/06,231,407.6,0.6358,3.36E+02,0,0,0,16.75172749
  2023/04/06,291,407.56,0.6412,3.36E+02,0,0,0,16.71484028
  2023/04/06,341,407.61,0.6475,3.40E+02,0,0,0,16.6774754
  2023/04/06,391,407.62,0.641,3.38E+02,0,0,0,16.6396504
  2023/04/06,441,407.6,0.641,3.39E+02,0,0,0,16.60138352
  2023/04/06,491,407.6,0.6398,3.38E+02,0,0,0,16.56269373
  2023/04/06,541,407.59,0.6453,3.39E+02,0,0,0,16.52360068
  2023/04/06,591,407.6,0.6383,3.38E+02,0,0,0,16.48412478
  2023/04/06,641,407.59,0.6412,3.39E+02,0,0,0,16.44428711
  2023/04/06,681,407.58,0.6403,3.39E+02,0,0,0,16.4041095
  2023/04/06,741,407.6,0.6431,3.40E+02,0,0,0,16.36361449
  2023/04/06,791,407.58,0.6402,3.39E+02,0,0,0,16.32282535
  2023/04/06,841,407.59,0.6391,3.38E+02,0,0,0,16.28176606
  2023/04/06,891,407.58,0.6425,3.39E+02,0,0,0,16.24046135
  2023/04/06,941,407.58,0.6411,3.40E+02,0,0,0,16.19893663
  2023/04/06,981,407.58,0.6414,3.39E+02,0,0,0,16.15721808
  2023/04/06,41,407.55,0.6414,3.38E+02,0,0,0,16.11533257
  2023/04/06,81,407.84,0.633,3.31E+02,0,0,0,16.07330771
