date,Irms-SigmaA-Total,P-SigmaA-Total,ch1,OT
  2023/04/06,0.6443,3.41E+02,0,16.913
  2023/04/06,0.6376,3.38E+02,0,16.913
  2023/04/06,0.6365,3.38E+02,0,16.988
  2023/04/06,0.6398,3.39E+02,0,16.895
  2023/04/06,0.6352,3.37E+02,0,16.884
  2023/04/06,0.6388,3.38E+02,0,16.891
  2023/04/06,0.6399,3.38E+02,0,16.945
  2023/04/06,0.6405,3.39E+02,0,16.855
  2023/04/06,0.6376,3.37E+02,0,17.003
  2023/04/06,0.6426,3.39E+02,0,16.942
  2023/04/06,0.6474,3.40E+02,0,16.952
  2023/04/06,0.6422,3.38E+02,0,16.726
  2023/04/06,0.6375,3.35E+02,0,17.028
  2023/04/06,0.6497,3.40E+02,0,16.974
  2023/04/06,0.6456,3.38E+02,0,16.754
  2023/04/06,0.6345,3.34E+02,0,16.866
  2023/04/06,0.6464,3.38E+02,0,16.942
  2023/04/06,0.6487,3.38E+02,0,16.808
  2023/04/06,0.64,3.34E+02,0,16.988
  2023/04/06,0.6503,3.39E+02,0,16.769
  2023/04/06,0.6342,3.34E+02,0,16.484
  2023/04/06,0.6179,3.29E+02,0,16.79
  2023/04/06,0.6358,3.36E+02,0,16.848
  2023/04/06,0.6412,3.36E+02,0,16.981
  2023/04/06,0.6475,3.40E+02,0,16.945
  2023/04/06,0.641,3.38E+02,0,16.927
  2023/04/06,0.641,3.39E+02,0,16.895
  2023/04/06,0.6398,3.38E+02,0,16.952
  2023/04/06,0.6453,3.39E+02,0,16.924
  2023/04/06,0.6383,3.38E+02,0,16.952
  2023/04/06,0.6412,3.39E+02,0,16.981
  2023/04/06,0.6403,3.39E+02,0,16.967
  2023/04/06,0.6431,3.40E+02,0,16.996
  2023/04/06,0.6402,3.39E+02,0,16.898
  2023/04/06,0.6391,3.38E+02,0,16.988
  2023/04/06,0.6425,3.39E+02,0,16.906
  2023/04/06,0.6411,3.40E+02,0,16.974
  2023/04/06,0.6414,3.39E+02,0,16.924
  2023/04/06,0.6414,3.38E+02,0,16.96
  2023/04/06,0.633,3.31E+02,0,17.014
  2023/04/06,0.6439,3.41E+02,0,17.096
  2023/04/06,0.6476,3.42E+02,0,16.931
  2023/04/06,0.6408,3.39E+02,0,17.01
  2023/04/06,0.6457,3.40E+02,0,16.949
  2023/04/06,0.6446,3.40E+02,0,17.017
  2023/04/06,0.6464,3.40E+02,0,17.082
  2023/04/06,0.6497,3.41E+02,0,17.154
  2023/04/06,0.6534,3.42E+02,0,17.078
  2023/04/06,0.6528,3.42E+02,0,17.053
  2023/04/06,0.6506,3.40E+02,0,16.888
  2023/04/06,0.6458,3.38E+02,0,16.891
  2023/04/06,0.6414,3.36E+02,0,17.91
  2023/04/06,0.6693,3.59E+02,0,18.115
  2023/04/06,0.6751,3.62E+02,0,17.978
  2023/04/06,0.6672,3.59E+02,0,18.032
  2023/04/06,0.6727,3.60E+02,0,17.971
  2023/04/06,0.672,3.59E+02,0,17.96
  2023/04/06,0.6675,3.57E+02,0,17.964
  2023/04/06,0.6694,3.59E+02,0,17.928
  2023/04/06,0.6663,3.58E+02,0,17.964
  2023/04/06,0.668,3.58E+02,0,17.928
  2023/04/06,0.6628,3.57E+02,0,18
  2023/04/06,0.6687,3.60E+02,0,17.964
  2023/04/06,0.6653,3.59E+02,0,17.964
  2023/04/06,0.6632,3.58E+02,0,17.892
  2023/04/06,0.662,3.59E+02,0,17.928
